,abv,ibu,name,style,brewery_id,ounces
14,0.061,60.0,Bitter Bitch,American Pale Ale (APA),177,12.0
21,0.099,92.0,Lower De Boom,American Barleywine,368,8.4
22,0.079,45.0,Fireside Chat,Winter Warmer,368,12.0
24,0.044,42.0,Bitter American,American Pale Ale (APA),368,12.0
25,0.049,17.0,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12.0
26,0.049,17.0,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12.0
27,0.049,17.0,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,368,12.0
28,0.07,70.0,21st Amendment IPA (2006),American IPA,368,12.0
29,0.07,70.0,Brew Free! or Die IPA (2008),American IPA,368,12.0
30,0.07,70.0,Brew Free! or Die IPA (2009),American IPA,368,12.0
31,0.085,52.0,Special Edition: Allies Win The War!,English Strong Ale,368,12.0
32,0.097,94.0,Hop Crisis,American Double / Imperial IPA,368,12.0
33,0.044,42.0,Bitter American (2011),American Pale Ale (APA),368,12.0
34,0.079,45.0,Fireside Chat (2010),Winter Warmer,368,12.0
35,0.068,65.0,Back in Black,American Black Ale,368,12.0
36,0.083,35.0,Monk's Blood,Belgian Dark Ale,368,12.0
37,0.07,65.0,Brew Free! or Die IPA,American IPA,368,12.0
38,0.049,17.0,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,368,12.0
39,0.07,82.0,Bimini Twist,American IPA,67,12.0
42,0.035,11.0,Passion Fruit Prussia,Berliner Weissbier,60,12.0
43,0.045,18.0,Send Help,American Blonde Ale,60,12.0
49,0.05,28.0,Contact High,American Pale Wheat Ale,60,12.0
51,0.05,45.0,Citrafest,American IPA,27,16.0
53,0.069,65.0,Scarecrow,American IPA,27,16.0
54,0.09,50.0,Ironman,English Strong Ale,27,16.0
55,0.046,15.0,Honey Kolsch,Kölsch,27,16.0
56,0.052000000000000005,18.0,Copperhead Amber,Belgian Dark Ale,27,16.0
57,0.059,75.0,Rude Parrot IPA,American IPA,481,16.0
58,0.054000000000000006,30.0,British Pale Ale (2010),English Pale Ale,481,16.0
59,0.054000000000000006,30.0,British Pale Ale,English Pale Ale,481,16.0
60,0.084,82.0,Ballz Deep Double IPA,American Double / Imperial IPA,481,16.0
62,0.055,26.0,Colorado Native,American Amber / Red Lager,462,12.0
63,0.055,26.0,Colorado Native (2011),American Amber / Red Lager,462,12.0
64,0.065,52.0,Jockamo IPA,American IPA,533,12.0
65,0.042,13.0,Purple Haze,Fruit / Vegetable Beer,533,12.0
66,0.045,17.0,Abita Amber,American Amber / Red Lager,533,12.0
67,0.08199999999999999,68.0,Citra Ass Down,American IPA,62,16.0
68,0.05,20.0,The Brown Note,American Brown Ale,62,16.0
69,0.08,68.0,Citra Ass Down,American Double / Imperial IPA,1,16.0
70,0.125,80.0,London Balling,English Barleywine,1,16.0
71,0.077,25.0,35 K,Milk / Sweet Stout,1,16.0
72,0.042,42.0,A Beer,American Pale Ale (APA),1,16.0
73,0.05,25.0,Rules are Rules,German Pilsener,1,16.0
74,0.066,21.0,Flesh Gourd'n,Pumpkin Ale,1,16.0
75,0.04,13.0,Sho'nuff,Belgian Pale Ale,1,16.0
76,0.055,17.0,Bloody Show,American Pilsner,1,16.0
77,0.076,68.0,Rico Sauvin,American Double / Imperial IPA,1,16.0
78,0.051,38.0,Coq de la Marche,Saison / Farmhouse Ale,1,16.0
80,0.06,65.0,Pile of Face,American IPA,1,16.0
81,0.05,20.0,The Brown Note,English Brown Ale,1,16.0
82,0.053,35.0,Maylani's Coconut Stout,American Stout,367,16.0
83,0.05,35.0,Oatmeal PSA,American Pale Ale (APA),367,16.0
84,0.052000000000000005,33.0,Pre Flight Pilsner,American Pilsner,367,16.0
85,0.04,20.0,P-Town Pilsner,American Pilsner,117,12.0
86,0.053,36.0,Klickitat Pale Ale,American Pale Ale (APA),117,12.0
87,0.08199999999999999,103.0,Yellow Wolf Imperial IPA,American Double / Imperial IPA,117,12.0
88,0.053,40.0,Freeride APA,American Pale Ale (APA),270,12.0
89,0.053,18.0,Alaskan Amber,Altbier,270,12.0
95,0.062,43.0,Desolation IPA,American IPA,401,16.0
105,0.057,13.0,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12.0
106,0.056,4.0,Summer Solstice,Cream Ale,171,12.0
107,0.07,80.0,Hop Ottin' IPA,American IPA,171,12.0
108,0.058,15.0,Boont Amber Ale,American Amber / Red Ale,171,12.0
109,0.057,13.0,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12.0
110,0.055,25.0,El Steinber Dark Lager,Vienna Lager,171,16.0
111,0.058,15.0,Boont Amber Ale (2010),American Amber / Red Ale,171,12.0
112,0.056,4.0,Summer Solstice Cerveza Crema (2009),Cream Ale,171,12.0
113,0.057,13.0,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,171,12.0
114,0.069,6.0,Winter Solstice,Winter Warmer,171,12.0
115,0.07,80.0,Hop Ottin' IPA (2011),American IPA,171,12.0
116,0.058,15.0,Boont Amber Ale (2011),American Amber / Red Ale,171,12.0
117,0.056,4.0,Summer Solstice (2011),Cream Ale,171,12.0
118,0.055,28.0,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),171,12.0
128,0.071,75.0,Long Leaf,American IPA,69,16.0
129,0.047,19.0,Honey Badger Blonde,American Blonde Ale,69,16.0
130,0.06,23.0,Porter (a/k/a Black Gold Porter),American Porter,69,16.0
131,0.06,55.0,Sky High Rye,American Pale Ale (APA),541,12.0
132,0.062,17.0,Whitsun,American Pale Wheat Ale,541,12.0
134,0.092,50.0,Quakertown Stout,American Double / Imperial Stout,426,12.0
135,0.051,20.0,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,426,12.0
136,0.052000000000000005,10.0,Mo's Gose,Gose,461,16.0
137,0.07,45.0,Green Bullet Organic India Pale Ale,American IPA,429,16.0
138,0.032,27.0,Rocket Girl,Kölsch,528,12.0
139,0.053,26.0,Ninja Porter,American Porter,528,12.0
140,0.06,69.0,Shiva IPA,American IPA,528,12.0
144,0.056,27.0,This Season's Blonde,American Blonde Ale,523,12.0
