,abv,ibu,name,style,brewery_id,ounces
14,0.061,60,Bitter Bitch,American Pale Ale (APA),177,12
21,0.099,92,Lower De Boom,American Barleywine,368,8.4
22,0.079,45,Fireside Chat,Winter Warmer,368,12
24,0.044,42,Bitter American,American Pale Ale (APA),368,12
25,0.049,17,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12
26,0.049,17,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12
27,0.049,17,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,368,12
28,0.07,70,21st Amendment IPA (2006),American IPA,368,12
29,0.07,70,Brew Free! or Die IPA (2008),American IPA,368,12
30,0.07,70,Brew Free! or Die IPA (2009),American IPA,368,12
31,0.085,52,Special Edition: Allies Win The War!,English Strong Ale,368,12
32,0.097,94,Hop Crisis,American Double / Imperial IPA,368,12
33,0.044,42,Bitter American (2011),American Pale Ale (APA),368,12
34,0.079,45,Fireside Chat (2010),Winter Warmer,368,12
35,0.068,65,Back in Black,American Black Ale,368,12
36,0.083,35,Monk's Blood,Belgian Dark Ale,368,12
37,0.07,65,Brew Free! or Die IPA,American IPA,368,12
38,0.049,17,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,368,12
39,0.07,82,Bimini Twist,American IPA,67,12
42,0.035,11,Passion Fruit Prussia,Berliner Weissbier,60,12
43,0.045,18,Send Help,American Blonde Ale,60,12
49,0.05,28,Contact High,American Pale Wheat Ale,60,12
51,0.05,45,Citrafest,American IPA,27,16
53,0.069,65,Scarecrow,American IPA,27,16
54,0.09,50,Ironman,English Strong Ale,27,16
55,0.046,15,Honey Kolsch,Kolsch,27,16
56,0.052,18,Copperhead Amber,Belgian Dark Ale,27,16
57,0.059,75,Rude Parrot IPA,American IPA,481,16
58,0.054,30,British Pale Ale (2010),English Pale Ale,481,16
59,0.054,30,British Pale Ale,English Pale Ale,481,16
60,0.084,82,Ballz Deep Double IPA,American Double / Imperial IPA,481,16
62,0.055,26,Colorado Native,American Amber / Red Lager,462,12
